MODE,Month of TRIP_START_DATE,PROVIDER_NAME,Number of Records
Classic Bicycle,April 2020,Lyft,"16,744"
Classic Bicycle,December 2020,Lyft,"23,672"
Classic Bicycle,January 2021,Lyft,"24,991"
Classic Bicycle,February 2021,Lyft,"25,307"
Classic Bicycle,November 2020,Lyft,"28,612"
Classic Bicycle,March 2021,Lyft,"29,313"
Classic Bicycle,May 2020,Lyft,"29,847"
Classic Bicycle,April 2021,Lyft,"31,395"
Classic Bicycle,June 2020,Lyft,"32,995"
Classic Bicycle,September 2020,Lyft,"33,060"
Classic Bicycle,October 2020,Lyft,"37,288"
Classic Bicycle,July 2017,Lyft,"37,420"
Classic Bicycle,March 2020,Lyft,"44,279"
Classic Bicycle,May 2021,Lyft,"48,069"
Classic Bicycle,July 2020,Lyft,"49,785"
Classic Bicycle,August 2020,Lyft,"51,278"
Classic Bicycle,August 2017,Lyft,"66,207"
Classic Bicycle,December 2017,Lyft,"66,404"
Classic Bicycle,August 2021,Lyft,"66,980"
Classic Bicycle,June 2021,Lyft,"71,523"
Classic Bicycle,January 2018,Lyft,"72,552"
Classic Bicycle,November 2017,Lyft,"74,316"
Classic Bicycle,July 2021,Lyft,"76,744"
Classic Bicycle,September 2017,Lyft,"78,088"
Classic Bicycle,February 2020,Lyft,"78,413"
Classic Bicycle,February 2018,Lyft,"79,138"
Classic Bicycle,January 2020,Lyft,"79,710"
Classic Bicycle,March 2018,Lyft,"81,332"
Classic Bicycle,October 2017,Lyft,"86,162"
Classic Bicycle,April 2018,Lyft,"94,678"
Classic Bicycle,December 2019,Lyft,"95,678"
Classic Bicycle,December 2018,Lyft,"96,725"
Classic Bicycle,November 2018,Lyft,"98,503"
Classic Bicycle,May 2019,Lyft,"132,342"
Classic Bicycle,February 2019,Lyft,"133,698"
Classic Bicycle,May 2018,Lyft,"133,991"
Classic Bicycle,September 2018,Lyft,"134,016"
Classic Bicycle,August 2018,Lyft,"136,047"
Classic Bicycle,July 2019,Lyft,"139,239"
Classic Bicycle,June 2019,Lyft,"141,924"
Classic Bicycle,November 2019,Lyft,"142,301"
Classic Bicycle,July 2018,Lyft,"142,867"
Classic Bicycle,January 2019,Lyft,"143,091"
Classic Bicycle,June 2018,Lyft,"143,948"
Classic Bicycle,October 2018,Lyft,"147,439"
Classic Bicycle,August 2019,Lyft,"156,671"
Classic Bicycle,September 2019,Lyft,"160,236"
Classic Bicycle,April 2019,Lyft,"175,830"
Classic Bicycle,October 2019,Lyft,"184,226"
Classic Bicycle,March 2019,Lyft,"190,072"
E-Bike,October 2018,Jump,"2,119"
E-Bike,May 2020,Jump,"4,794"
E-Bike,April 2020,Jump,"6,326"
E-Bike,March 2020,Jump,"22,703"
E-Bike,January 2020,Jump,"41,029"
E-Bike,February 2019,Jump,"43,634"
E-Bike,February 2020,Jump,"43,884"
E-Bike,December 2019,Jump,"46,261"
E-Bike,March 2019,Jump,"54,697"
E-Bike,January 2019,Jump,"58,615"
E-Bike,December 2018,Jump,"61,430"
E-Bike,November 2019,Jump,"62,978"
E-Bike,April 2019,Jump,"63,002"
E-Bike,May 2019,Jump,"63,256"
E-Bike,June 2019,Jump,"65,312"
E-Bike,November 2018,Jump,"66,105"
E-Bike,July 2019,Jump,"70,556"
E-Bike,October 2019,Jump,"73,640"
E-Bike,September 2019,Jump,"85,908"
E-Bike,August 2019,Jump,"95,381"
E-Bike,October 2019,Lyft,7
E-Bike,November 2019,Lyft,426
E-Bike,December 2019,Lyft,"13,704"
E-Bike,October 2021,Lyft,"15,453"
E-Bike,April 2020,Lyft,"45,284"
E-Bike,January 2021,Lyft,"59,787"
E-Bike,December 2020,Lyft,"62,453"
E-Bike,February 2021,Lyft,"66,660"
E-Bike,May 2020,Lyft,"68,023"
E-Bike,July 2020,Lyft,"68,619"
E-Bike,November 2020,Lyft,"79,794"
E-Bike,March 2021,Lyft,"81,707"
E-Bike,September 2020,Lyft,"86,623"
E-Bike,August 2020,Lyft,"89,345"
E-Bike,March 2020,Lyft,"90,045"
E-Bike,April 2021,Lyft,"90,751"
E-Bike,June 2020,Lyft,"94,670"
E-Bike,October 2020,Lyft,"104,561"
E-Bike,May 2021,Lyft,"107,373"
E-Bike,August 2021,Lyft,"125,217"
E-Bike,June 2021,Lyft,"127,539"
E-Bike,September 2021,Lyft,"131,515"
E-Bike,July 2021,Lyft,"136,213"
E-Bike,January 2020,Lyft,"171,202"
E-Bike,February 2020,Lyft,"290,844"
E-Moped,April 2021,Lime,1
E-Moped,January 2021,Lime,20
E-Moped,March 2021,Lime,22
E-Moped,February 2021,Lime,62
E-Moped,September 2020,Revel,"2,104"
E-Moped,October 2020,Revel,"2,987"
E-Moped,October 2021,Revel,"3,446"
E-Moped,January 2021,Revel,"9,747"
E-Moped,December 2020,Revel,"10,089"
E-Moped,February 2021,Revel,"10,637"
E-Moped,March 2021,Revel,"13,358"
E-Moped,November 2020,Revel,"13,496"
E-Moped,April 2021,Revel,"15,505"
E-Moped,May 2021,Revel,"17,501"
E-Moped,June 2021,Revel,"18,832"
E-Moped,July 2021,Revel,"21,602"
E-Moped,August 2021,Revel,"23,205"
E-Moped,September 2021,Revel,"24,852"
Powered Scooter,October 2019,Jump,"17,428"
Powered Scooter,March 2020,Jump,"25,809"
Powered Scooter,December 2019,Jump,"35,331"
Powered Scooter,January 2020,Jump,"39,335"
Powered Scooter,November 2019,Jump,"42,075"
Powered Scooter,February 2020,Jump,"50,423"
Powered Scooter,April 2020,Lime,10
Powered Scooter,May 2020,Lime,"4,573"
Powered Scooter,October 2019,Lime,"16,189"
Powered Scooter,October 2021,Lime,"16,428"
Powered Scooter,June 2020,Lime,"21,564"
Powered Scooter,December 2020,Lime,"28,729"
Powered Scooter,March 2020,Lime,"28,985"
Powered Scooter,January 2021,Lime,"34,102"
Powered Scooter,November 2020,Lime,"35,191"
Powered Scooter,February 2021,Lime,"40,528"
Powered Scooter,October 2020,Lime,"44,735"
Powered Scooter,July 2020,Lime,"44,867"
Powered Scooter,March 2021,Lime,"47,246"
Powered Scooter,September 2020,Lime,"51,187"
Powered Scooter,December 2019,Lime,"55,822"
Powered Scooter,November 2019,Lime,"56,229"
Powered Scooter,August 2020,Lime,"58,065"
Powered Scooter,April 2021,Lime,"59,092"
Powered Scooter,May 2021,Lime,"64,838"
Powered Scooter,February 2020,Lime,"72,856"
Powered Scooter,January 2020,Lime,"73,552"
Powered Scooter,June 2021,Lime,"79,944"
Powered Scooter,July 2021,Lime,"99,384"
Powered Scooter,August 2021,Lime,"107,438"
Powered Scooter,September 2021,Lime,"115,880"
Powered Scooter,October 2021,Scoot,349
Powered Scooter,June 2020,Scoot,910
Powered Scooter,May 2020,Scoot,"3,137"
Powered Scooter,December 2018,Scoot,"4,040"
Powered Scooter,January 2019,Scoot,"4,168"
Powered Scooter,July 2020,Scoot,"5,378"
Powered Scooter,November 2018,Scoot,"5,670"
Powered Scooter,February 2019,Scoot,"8,481"
Powered Scooter,June 2019,Scoot,"9,342"
Powered Scooter,August 2020,Scoot,"11,899"
Powered Scooter,May 2019,Scoot,"15,287"
Powered Scooter,April 2019,Scoot,"15,331"
Powered Scooter,July 2019,Scoot,"15,348"
Powered Scooter,September 2020,Scoot,"18,806"
Powered Scooter,June 2021,Scoot,"20,198"
Powered Scooter,March 2019,Scoot,"20,535"
Powered Scooter,April 2021,Scoot,"21,191"
Powered Scooter,March 2020,Scoot,"21,287"
Powered Scooter,December 2020,Scoot,"22,059"
Powered Scooter,March 2021,Scoot,"24,177"
Powered Scooter,February 2021,Scoot,"24,218"
Powered Scooter,November 2020,Scoot,"24,753"
Powered Scooter,October 2020,Scoot,"26,670"
Powered Scooter,January 2021,Scoot,"27,130"
Powered Scooter,May 2021,Scoot,"28,435"
Powered Scooter,December 2019,Scoot,"31,793"
Powered Scooter,January 2020,Scoot,"33,154"
Powered Scooter,February 2020,Scoot,"43,011"
Powered Scooter,November 2019,Scoot,"54,017"
Powered Scooter,August 2019,Scoot,"56,991"
Powered Scooter,September 2019,Scoot,"60,548"
Powered Scooter,October 2019,Scoot,"62,582"
Powered Scooter,November 2018,Skip,"9,199"
Powered Scooter,October 2019,Skip,"21,038"
Powered Scooter,February 2019,Skip,"29,514"
Powered Scooter,December 2018,Skip,"33,129"
Powered Scooter,January 2019,Skip,"36,303"
Powered Scooter,March 2019,Skip,"56,368"
Powered Scooter,June 2019,Skip,"74,417"
Powered Scooter,July 2019,Skip,"87,632"
Powered Scooter,May 2019,Skip,"88,916"
Powered Scooter,April 2019,Skip,"90,257"
Powered Scooter,September 2019,Skip,"99,057"
Powered Scooter,August 2019,Skip,"104,578"
Powered Scooter,October 2021,Spin,"9,753"
Powered Scooter,April 2020,Spin,"16,871"
Powered Scooter,December 2020,Spin,"17,780"
Powered Scooter,January 2021,Spin,"18,328"
Powered Scooter,February 2021,Spin,"22,362"
Powered Scooter,November 2020,Spin,"22,741"
Powered Scooter,October 2019,Spin,"27,300"
Powered Scooter,May 2020,Spin,"27,770"
Powered Scooter,December 2019,Spin,"30,680"
Powered Scooter,June 2020,Spin,"31,812"
Powered Scooter,August 2020,Spin,"31,977"
Powered Scooter,July 2020,Spin,"32,649"
Powered Scooter,March 2021,Spin,"33,116"
Powered Scooter,September 2020,Spin,"33,314"
Powered Scooter,March 2020,Spin,"34,144"
Powered Scooter,October 2020,Spin,"34,948"
Powered Scooter,April 2021,Spin,"36,336"
Powered Scooter,January 2020,Spin,"39,645"
Powered Scooter,May 2021,Spin,"40,014"
Powered Scooter,November 2019,Spin,"43,943"
Powered Scooter,June 2021,Spin,"46,215"
Powered Scooter,February 2020,Spin,"48,492"
Powered Scooter,July 2021,Spin,"58,349"
Powered Scooter,August 2021,Spin,"78,967"
Powered Scooter,September 2021,Spin,"83,426"
